"","X","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr.","team_abbr","year"
"14726",3,"FB","Robert Thomas",26,"2",15,"15 rushes for 51 yards, 0 td, & 23 catches for 117 yards and 2 td","","dal",2000
"14727",4,"WR","Rocket Ismail",31,"7",9,"25 catches for 350 yards, 1 td, & 8 rushes for 73 yards and 0 td","Los Angeles Raiders / 4th / 100th pick / 1991","dal",2000
"14728",5,"WR","James McKnight",28,"6",15,"52 catches for 926 yards, 2 td","","dal",2000
"14729",6,"LT","Flozell Adams",25,"2",16,"","Dallas Cowboys / 2nd / 38th pick / 1998","dal",2000
"14730",7,"LG","Larry Allen*+",29,"6",16,"2 fumbles recovered","Dallas Cowboys / 2nd / 46th pick / 1994","dal",2000
"14731",8,"C","Mark Stepnoski",33,"11",11,"","Dallas Cowboys / 3rd / 57th pick / 1989","dal",2000
"14732",9,"RG","Solomon Page",24,"1",16,"","Dallas Cowboys / 2nd / 55th pick / 1999","dal",2000
"14733",10,"RT","Erik Williams",32,"9",16,"","Dallas Cowboys / 3rd / 70th pick / 1991","dal",2000
"14734",12,"DE","Greg Ellis",25,"2",16,"","Dallas Cowboys / 1st / 8th pick / 1998","dal",2000
"14735",13,"DE","Alonzo Spellman",29,"8",15,"","Chicago Bears / 1st / 22nd pick / 1992","dal",2000
"14736",14,"LB","Dexter Coakley",28,"3",16,"","Dallas Cowboys / 3rd / 65th pick / 1997","dal",2000
"14737",15,"LB","Darren Hambrick",25,"2",16,"","Dallas Cowboys / 5th / 130th pick / 1998","dal",2000
"14738",16,"RCB","Ryan McNeil",30,"7",16,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Detroit Lions / 2nd / 33rd pick / 1993","dal",2000
"14739",17,"SS","Darren Woodson",31,"8",11,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Dallas Cowboys / 2nd / 37th pick / 1992","dal",2000
"14740",18,"FS","George Teague",29,"7",9,"","Green Bay Packers / 1st / 29th pick / 1993","dal",2000
"14741",2,"QB","Quincy Carter",24,"Rook",8,"90 for 176, 1,072 yards, 5 td, 7 int, & 45 rushes for 150 yards and 1 td","Dallas Cowboys / 2nd / 53rd pick / 2001","dal",2001
"14742",3,"RB","Emmitt Smith",32,"11",14,"261 rushes for 1,021 yards, 3 td, & 17 catches for 116 yards and 0 td","Dallas Cowboys / 1st / 17th pick / 1990","dal",2001
"14743",4,"FB","Troy Hambrick",25,"1",11,"113 rushes for 579 yards, 2 td, & 4 catches for 62 yards and 0 td","","dal",2001
"14744",5,"WR","Joey Galloway",30,"6",16,"52 catches for 699 yards, 3 td, & 3 rushes for 32 yards and 0 td","Seattle Seahawks / 1st / 8th pick / 1995","dal",2001
"14745",6,"WR","Rocket Ismail",32,"8",13,"53 catches for 834 yards, 2 td, & 8 rushes for 31 yards and 0 td","Los Angeles Raiders / 4th / 100th pick / 1991","dal",2001
